,Weight,Acc@1,Acc@5,Params,GFLOPS,Recipe,acc_per_params_M,model_type
103,ViT_B_16 ,81.886,96.18,86.6,17.56,link,0.9455658198614318,ViT
104,ViT_B_32 ,75.912,92.466,88.2,4.41,link,0.8606802721088436,ViT
105,ViT_H_14 ,88.552,98.694,633.5,1016.72,link,0.13978216258879245,ViT
106,ViT_H_14 ,85.708,97.73,632.0,167.29,link,0.1356139240506329,ViT
107,ViT_L_16 ,79.662,94.638,304.3,61.55,link,0.2617877094972067,ViT
108,ViT_L_16 ,88.064,98.512,305.2,361.99,link,0.28854521625163826,ViT
109,ViT_L_16 ,85.146,97.422,304.3,61.55,link,0.2798093986197831,ViT
110,ViT_L_32 ,76.972,93.07,306.5,15.38,link,0.2511321370309951,ViT
111,Wide_ResNet101_2 ,78.848,94.284,126.9,22.75,link,0.6213396375098502,Wide
112,Wide_ResNet101_2 ,82.51,96.02,126.9,22.75,link,0.6501970055161544,Wide
113,Wide_ResNet50_2 ,78.468,94.086,68.9,11.4,link,1.1388679245283018,Wide
114,Wide_ResNet50_2 ,81.602,95.758,68.9,11.4,link,1.1843541364296082,Wide
