,Weight,Acc@1,Acc@5,Params,GFLOPS,Recipe,Model,acc_per_params_M,model_type
59,RegNet_Y_3_2GF_Weights.IMAGENET1K_V1,78.948,94.576,19.4,3.18,link,RegNet_Y_3_2GF ,4.0694845360824745,RegNet
61,RegNet_Y_400MF_Weights.IMAGENET1K_V1,74.046,91.716,4.3,0.4,link,RegNet_Y_400MF ,17.220000000000002,RegNet
63,RegNet_Y_800MF_Weights.IMAGENET1K_V1,76.42,93.136,6.4,0.83,link,RegNet_Y_800MF ,11.940624999999999,RegNet
65,RegNet_Y_8GF_Weights.IMAGENET1K_V1,80.032,95.048,39.4,8.47,link,RegNet_Y_8GF ,2.0312690355329948,RegNet
67,ResNeXt101_32X8D_Weights.IMAGENET1K_V1,79.312,94.526,88.8,16.41,link,ResNeXt101_32X8D ,0.8931531531531531,ResNeXt
69,ResNeXt101_64X4D_Weights.IMAGENET1K_V1,83.246,96.454,83.5,15.46,link,ResNeXt101_64X4D ,0.9969580838323353,ResNeXt
70,ResNeXt50_32X4D_Weights.IMAGENET1K_V1,77.618,93.698,25.0,4.23,link,ResNeXt50_32X4D ,3.10472,ResNeXt
72,ResNet101_Weights.IMAGENET1K_V1,77.374,93.546,44.5,7.8,link,ResNet101 ,1.7387415730337077,ResNet
74,ResNet152_Weights.IMAGENET1K_V1,78.312,94.046,60.2,11.51,link,ResNet152 ,1.3008637873754152,ResNet
76,ResNet18_Weights.IMAGENET1K_V1,69.758,89.078,11.7,1.81,link,ResNet18 ,5.9622222222222225,ResNet
77,ResNet34_Weights.IMAGENET1K_V1,73.314,91.42,21.8,3.66,link,ResNet34 ,3.3630275229357793,ResNet
78,ResNet50_Weights.IMAGENET1K_V1,76.13,92.862,25.6,4.09,link,ResNet50 ,2.973828125,ResNet
80,ShuffleNet_V2_X0_5_Weights.IMAGENET1K_V1,60.552,81.746,1.4,0.04,link,ShuffleNet_V2_X0_5 ,43.251428571428576,ShuffleNet
81,ShuffleNet_V2_X1_0_Weights.IMAGENET1K_V1,69.362,88.316,2.3,0.14,link,ShuffleNet_V2_X1_0 ,30.157391304347826,ShuffleNet
82,ShuffleNet_V2_X1_5_Weights.IMAGENET1K_V1,72.996,91.086,3.5,0.3,link,ShuffleNet_V2_X1_5 ,20.855999999999998,ShuffleNet
83,ShuffleNet_V2_X2_0_Weights.IMAGENET1K_V1,76.23,93.006,7.4,0.58,link,ShuffleNet_V2_X2_0 ,10.301351351351352,ShuffleNet
84,SqueezeNet1_0_Weights.IMAGENET1K_V1,58.092,80.42,1.2,0.82,link,SqueezeNet1_0 ,48.410000000000004,SqueezeNet
85,SqueezeNet1_1_Weights.IMAGENET1K_V1,58.178,80.624,1.2,0.35,link,SqueezeNet1_1 ,48.48166666666667,SqueezeNet
86,Swin_B_Weights.IMAGENET1K_V1,83.582,96.64,87.8,15.43,link,Swin_B ,0.9519589977220956,Swin
87,Swin_S_Weights.IMAGENET1K_V1,83.196,96.36,49.6,8.74,link,Swin_S ,1.6773387096774193,Swin
88,Swin_T_Weights.IMAGENET1K_V1,81.474,95.776,28.3,4.49,link,Swin_T ,2.878939929328622,Swin
